[[ 49.09604236]]
[[ 0.92205095]]
[[ 0.38122523]]
[[ 2.60331654]]
[[ 71.49874437]]
[[ 35.15128277]]
[[ 0.33651332]]
[[ 37.61942978]]
[[ 1.59345628]]
[[ 7.49913216]]
[[ 20.63534991]]
[[ 0.31169041]]
[[ 12.14511025]]
[[ 62.43665517]]
[[ 96.93681993]]
[[ 5.85992056]]
[[ 86.03735347]]
[[ 32.06199585]]
[[ 0.63389512]]
[[ 3.32123014]]
[[ 0.91464018]]
[[ 118.1584376]]
[[ 37.12796766]]
[[ 29.74224379]]
[[ 0.03935443]]
[[ 0.73256226]]
[[ 0.95039975]]
[[ 15.80698738]]
[[ 0.84910241]]
[[ 0.68155056]]
[[ 21.83301441]]
[[ 6.91799966]]
[[ 1.78667161]]
[[ 71.39007968]]
[[ 9.73115159]]
[[ 151.3683512]]
[[ 6.67430474]]
[[ 68.7947586]]
[[ 0.17607246]]
[[ 43.38324597]]
[[ 27.65384492]]
[[ 4.18861315]]
[[ 1.12987777]]
[[ 18.65503283]]
[[ 12.98021349]]
[[ 16.13511311]]
[[ 97.16555371]]
[[ 102.14459038]]
[[ 11.38281804]]
[[ 0.01286266]]
[[ 110.66243215]]
[[ 0.0264578]]
[[ 24.15163244]]
[[ 33.17110476]]
[[ 32.46179514]]
[[ 25.4427021]]
[[ 56.49710139]]
[[ 14.72496958]]
[[ 40.50575464]]
[[ 0.81269019]]
[[ 51.58316642]]
[[ 0.3172149]]
[[ 6.30592669]]
[[ 98.76721289]]
[[ 61.31279425]]
[[ 7.65087343]]
[[ 0.15361068]]
[[ 0.2138936]]
[[ 0.4985086]]
[[ 103.33572099]]
[[ 77.39584475]]
[[ 48.68333371]]
[[ 37.99352368]]
[[ 31.99707012]]
[[ 1.88497778]]
[[ 0.78630144]]
[[ 63.59399402]]
[[ 62.1988016]]
[[ 79.50016327]]
[[ 0.46200102]]
[[ 0.77166008]]
[[ 107.77303001]]
[[ 9.93691912]]
[[ 107.91520963]]
[[  4.78539246e-05]]
[[ 9.11022915]]
[[ 0.01453456]]
[[ 0.56638018]]
[[ 0.21361351]]
[[ 4.36030361]]
[[ 42.32544975]]
[[ 6.56346069]]
[[ 22.32710458]]
[[ 0.47907627]]
[[ 10.82908286]]
[[ 9.63519213]]
[[ 13.40309222]]
[[ 0.57650665]]
[[ 10.31309391]]
[[ 22.09568486]]
[[ 0.62594653]]
[[ 7.06773467]]
[[ 32.5776671]]
[[ 43.49714115]]
[[ 34.37889571]]
[[ 0.75668305]]
[[ 2.07437633]]
[[ 49.46090133]]
[[ 51.49171604]]
[[ 1.87348463]]
[[ 98.0002621]]
[[ 29.18176975]]
[[ 0.05593162]]
[[ 3.5626431]]
[[ 68.30491865]]
[[ 37.8174212]]
[[ 0.38805305]]
[[ 0.99558301]]
[[ 2.93122416]]
[[ 8.26704736]]
[[ 1.72478834]]
[[ 0.32512697]]
[[ 10.30736382]]
[[ 1.24882814]]
[[ 61.51640838]]
[[ 24.90079703]]
[[ 9.04746041]]
[[ 6.12350418]]
[[ 55.82401316]]
[[ 4.85511437]]
[[ 0.23238696]]
[[ 0.92630118]]
[[ 86.90748107]]
[[ 1.01969008]]
[[ 82.7447344]]
[[ 6.11332175]]
[[ 65.46640018]]
[[ 18.17632872]]
[[ 3.30265834]]
[[ 55.91994679]]
[[ 69.82968757]]
[[ 0.03920539]]
[[ 5.9334612]]
[[ 15.88439823]]
[[ 63.91654906]]
[[ 35.31021734]]
[[ 99.0044647]]
[[ 9.20302699]]
[[ 138.24474417]]
[[ 91.35815977]]
